t_wall,px,py,yaw_deg,plan_rel_deg,front_obst_m,cmd_nav_vx,cmd_nav_wz
1788372143.173,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372143.404,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372143.611,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372143.843,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372144.074,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372144.284,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372144.494,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372144.727,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372144.939,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372145.150,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372145.371,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372145.601,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372145.804,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372146.013,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372146.244,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372146.473,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372146.686,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372146.902,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372147.136,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372147.348,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372147.556,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372147.775,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372148.000,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372148.204,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372148.420,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372148.655,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372148.864,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372149.075,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372149.293,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372149.527,1.000,1.000,0.0,72.1,3.367,0.0000,0.0000
1788372149.738,1.000,1.000,0.0,72.1,3.367,0.0000,0.0000
1788372149.947,1.000,1.000,0.0,72.1,3.367,0.0000,0.0000
1788372150.176,1.000,1.000,0.0,72.1,3.367,0.0000,0.0000
1788372150.399,1.000,1.000,0.0,72.1,3.367,0.0000,0.0000
1788372150.607,1.000,1.000,0.0,72.1,3.367,0.0000,0.0000
1788372150.818,1.000,1.000,0.0,72.1,3.367,0.0000,0.0000
1788372151.053,1.000,1.000,0.0,-14.7,3.367,0.2864,0.0000
1788372151.280,1.012,1.000,0.0,-13.7,3.366,0.2864,0.0000
1788372151.495,1.069,1.000,0.0,-13.9,3.324,0.3500,0.0000
1788372151.729,1.131,1.000,0.0,-14.2,3.264,0.3500,0.0000
1788372151.960,1.192,1.000,0.0,-14.5,3.205,0.3500,0.0000
1788372152.173,1.244,1.001,0.4,-15.1,3.146,0.3500,0.0000
1788372152.395,1.306,1.003,0.6,-15.8,3.088,0.3182,0.0000
1788372152.649,1.360,1.006,1.3,-15.6,3.028,0.3500,6.0000
1788372152.864,1.419,1.009,1.6,-16.4,2.968,0.3500,6.0000
1788372153.082,1.479,1.009,1.4,-13.7,2.908,0.3500,6.0000
