t,state,reason,active,lin,ang,nav_wants,x,y,stuck_s,rear_gap,front_gap,side_clear,nearest,guard_blocked,obstacle_mapped,near_mapped
184.3,monitoring,,0,0.0,0.0,1,4.597,3.391,0.12,4.115,4.381,0.431,0.712,0,0,0
184.4,monitoring,,0,0.0,0.0,1,4.596,3.361,0.0,4.145,4.351,0.428,0.709,0,0,0
184.5,monitoring,,0,0.0,0.0,1,4.595,3.33,0.11,4.174,4.321,0.426,0.706,0,0,0
184.6,monitoring,,0,0.0,0.0,1,4.594,3.3,0.0,4.204,4.292,0.423,0.703,0,0,0
184.7,monitoring,,0,0.0,0.0,1,4.593,3.269,0.11,4.234,4.262,0.419,0.7,0,0,0
184.8,monitoring,,0,0.0,0.0,1,4.592,3.238,0.0,4.264,4.232,0.416,0.697,0,0,0
184.9,monitoring,,0,0.0,0.0,1,4.592,3.208,0.11,4.294,4.202,0.416,0.694,0,0,0
185.0,monitoring,,0,0.0,0.0,1,4.591,3.177,0.0,4.324,4.172,0.416,0.691,0,0,0
185.1,monitoring,,0,0.0,0.0,1,4.59,3.147,0.13,4.353,4.142,0.416,0.688,0,0,0
185.2,monitoring,,0,0.0,0.0,1,4.589,3.116,0.0,4.383,4.113,0.416,0.685,0,0,0
185.3,monitoring,,0,0.0,0.0,1,4.588,3.096,0.11,4.413,4.083,0.416,0.682,0,0,0
185.4,monitoring,,0,0.0,0.0,1,4.587,3.065,0.0,4.45,4.053,0.416,0.679,0,0,0
185.5,monitoring,,0,0.0,0.0,1,4.586,3.035,0.11,4.48,4.023,0.416,0.677,0,0,0
185.6,monitoring,,0,0.0,0.0,1,4.586,3.032,0.22,4.508,3.995,0.416,0.677,0,0,0
185.7,monitoring,,0,0.0,0.0,1,4.586,3.032,0.33,4.525,2.502,0.414,0.676,0,0,0
185.8,monitoring,,0,0.0,0.0,1,4.586,3.032,0.45,4.552,2.419,0.414,0.676,0,0,0
185.9,monitoring,,0,0.0,0.0,1,4.586,3.032,0.0,4.589,2.425,0.41,0.676,0,0,0
186.0,monitoring,,0,0.0,0.0,1,4.586,3.029,0.1,4.636,2.428,0.406,0.676,0,0,0
186.1,monitoring,,0,0.0,0.0,1,4.582,3.013,0.21,4.653,2.423,0.405,0.675,0,0,0
186.2,monitoring,,0,0.0,0.0,1,4.575,2.984,0.32,4.672,2.403,0.405,0.672,0,0,0
186.3,monitoring,,0,0.0,0.0,1,4.568,2.954,0.0,4.702,2.373,0.405,0.669,0,0,0
186.4,monitoring,,0,0.0,0.0,1,4.562,2.924,0.12,4.731,2.343,0.405,0.667,0,0,0
186.5,monitoring,,0,0.0,0.0,1,4.555,2.894,0.0,4.761,2.313,0.406,0.666,0,0,0
186.6,monitoring,,0,0.0,0.0,1,4.552,2.883,0.11,4.791,2.283,0.404,0.664,0,0,0
186.7,monitoring,,0,0.0,0.0,1,4.552,2.883,0.22,4.826,2.267,0.405,0.666,0,0,0
186.8,monitoring,,0,0.0,0.0,1,4.552,2.883,0.33,4.892,2.261,0.405,0.665,0,0,0
186.9,monitoring,,0,0.0,0.0,1,4.552,2.883,0.0,4.97,2.255,0.406,0.667,0,0,0
187.0,monitoring,,0,0.0,0.0,1,4.552,2.883,0.11,5.061,2.324,0.404,0.666,0,0,0
187.1,monitoring,,0,0.0,0.0,1,4.551,2.88,0.23,5.165,4.209,0.4,0.665,0,0,0
187.2,monitoring,,0,0.0,0.0,1,4.544,2.865,0.35,5.16,4.213,0.398,0.664,0,0,0
187.3,monitoring,,0,0.0,0.0,1,4.531,2.838,0.46,5.179,4.193,0.397,0.661,0,0,0
187.4,monitoring,,0,0.0,0.0,1,4.518,2.811,0.0,5.207,4.164,0.398,0.659,0,0,0
187.5,monitoring,,0,0.0,0.0,1,4.505,2.783,0.11,5.235,4.135,0.398,0.658,0,0,0
187.6,monitoring,,0,0.0,0.0,1,4.493,2.755,0.0,5.263,4.105,0.399,0.659,0,0,0
187.7,monitoring,,0,0.0,0.0,1,4.48,2.728,0.1,5.291,4.076,0.399,0.662,0,0,0
187.7,monitoring,,0,0.0,0.0,1,4.48,2.728,0.1,5.291,4.076,0.399,0.662,0,0,0
187.9,monitoring,,0,0.0,0.0,1,4.475,2.717,0.34,5.139,4.075,0.402,0.668,0,0,0
188.0,monitoring,,0,0.0,0.0,1,4.475,2.717,0.45,4.774,4.171,0.404,0.666,0,0,0
188.1,monitoring,,0,0.0,0.0,1,4.475,2.717,0.0,4.544,4.28,0.405,0.666,0,0,0
188.2,monitoring,,0,0.0,0.0,1,4.475,2.717,0.11,4.539,4.403,0.41,0.67,0,0,0
