t_wall,px,py,yaw_deg,plan_rel_deg,front_obst_m,cmd_nav_vx,cmd_nav_wz
1788371751.809,6.378,2.197,17.1,79.9,1.022,0.0000,0.0000
1788371752.028,6.388,2.220,12.3,145.5,1.021,0.0000,0.0000
1788371752.269,6.390,2.227,8.1,177.7,1.026,0.0000,0.0000
1788371752.474,6.391,2.229,8.1,-174.8,1.065,0.0000,0.0000
1788371752.677,6.390,2.239,8.5,-143.7,1.065,0.0000,0.0000
1788371752.894,6.390,2.239,8.5,-143.7,1.065,0.0000,0.0000
1788371753.120,6.390,2.239,8.5,-143.7,1.065,0.0000,0.0000
1788371753.323,6.390,2.239,8.5,-143.7,1.065,0.0000,0.0000
1788371753.530,6.396,2.241,8.5,-4.4,1.065,0.2864,0.0000
1788371753.766,6.436,2.246,8.5,-5.1,1.052,0.2545,0.0000
1788371753.985,6.476,2.252,8.5,-5.9,1.035,0.2227,0.0000
1788371754.197,6.516,2.258,8.5,-6.6,1.019,0.1909,0.0000
1788371754.422,6.519,2.259,3.0,-1.1,1.118,0.3500,0.0000
1788371754.653,6.516,2.258,1.9,0.0,1.345,0.3500,0.0000
1788371754.867,6.535,2.258,2.0,0.0,1.344,0.3500,0.0000
1788371755.076,6.575,2.261,2.3,-0.8,1.336,0.3500,0.0000
1788371755.306,6.620,2.263,2.3,-1.0,1.328,0.3500,0.0000
1788371755.532,6.657,2.265,2.3,-1.2,4.802,0.3182,0.0000
1788371755.749,6.702,2.267,2.3,-1.8,4.758,0.2864,0.0000
1788371755.967,6.767,2.272,2.5,-3.0,4.715,0.1591,0.0000
1788371756.210,6.812,2.274,2.5,-3.6,4.671,0.1273,0.0000
1788371756.429,6.861,2.283,3.3,-7.0,4.628,0.0955,0.0000
1788371756.642,6.907,2.287,3.5,-7.9,4.586,0.1591,0.0000
1788371756.871,6.952,2.290,3.5,-8.4,4.543,0.0955,0.0000
1788371757.099,6.963,2.296,3.0,-8.6,4.501,0.0636,0.0000
1788371757.313,7.000,2.297,3.0,-9.3,4.457,0.0318,0.0000
1788371757.528,7.034,2.301,3.2,-9.4,4.412,0.0318,6.0000
1788371757.768,7.074,2.303,3.2,-10.0,4.368,0.3500,-6.0000
1788371757.981,7.119,2.306,3.2,-10.5,4.325,0.3500,-6.0000
1788371758.194,7.168,2.313,3.4,-11.7,4.281,0.3182,-6.0000
1788371758.418,7.213,2.315,3.4,-12.2,4.238,0.3182,-6.0000
1788371758.641,7.260,2.322,3.2,-12.9,4.195,0.3500,-6.0000
1788371758.849,7.305,2.325,3.1,-13.4,4.153,0.3500,-6.0000
1788371759.062,7.350,2.327,3.1,-15.3,4.111,0.2864,-6.0000
1788371759.300,7.380,2.338,3.8,-16.7,4.066,0.2545,-6.0000
1788371759.509,7.425,2.341,3.8,-16.9,4.022,0.0955,-6.0000
1788371759.719,7.462,2.349,4.3,-19.3,3.979,0.1273,-6.0000
1788371759.942,7.504,2.354,4.5,-19.8,3.935,0.1273,-6.0000
1788371760.172,7.548,2.357,4.5,-13.4,3.892,0.1591,-6.0000
1788371760.379,7.590,2.358,3.7,-13.5,3.850,0.1591,-6.0000
1788371760.593,7.635,2.361,3.7,-14.8,3.808,0.3500,0.0000
1788371760.841,7.688,2.364,3.8,-14.2,3.764,0.3500,0.0000
1788371761.054,7.725,2.367,3.8,-14.3,3.720,0.3500,0.0000
1788371761.269,7.770,2.370,3.8,-14.5,3.677,0.3500,0.0000
1788371761.482,7.801,2.368,3.7,-14.8,3.633,0.3500,0.0000
1788371761.712,7.846,2.371,3.7,-13.9,3.591,0.3500,0.0000
1788371761.923,7.863,2.368,3.3,-13.6,3.549,0.3500,0.0000
1788371762.134,7.901,2.370,3.2,-12.3,3.506,0.3182,0.0000
1788371762.368,7.946,2.372,3.2,-11.3,3.462,0.3500,0.0000
1788371762.587,7.982,2.373,3.4,-10.3,3.418,0.3500,0.0000
1788371762.799,8.027,2.376,3.4,-11.3,3.375,0.3500,0.0000
1788371763.026,8.064,2.376,3.6,-8.3,3.334,0.3500,0.0000
1788371763.262,8.108,2.378,3.6,-9.5,3.291,0.3500,0.0000
1788371763.474,8.153,2.381,3.6,-9.0,3.248,0.3500,0.0000
1788371763.686,8.184,2.379,3.6,-9.1,3.204,0.3500,0.0000
1788371763.923,8.214,2.381,3.6,-9.0,3.161,0.3500,0.0000
1788371764.135,8.214,2.389,3.8,-10.0,3.154,0.3500,0.0000
1788371764.342,8.214,2.390,3.8,-5.4,3.154,0.3500,0.0000
1788371764.561,8.225,2.390,3.8,-5.5,3.154,0.3500,0.0000
1788371764.788,8.272,2.393,3.8,-5.9,3.118,0.3500,0.0000
1788371765.004,8.333,2.397,3.8,-6.4,3.059,0.3500,0.0000
1788371765.215,8.394,2.401,3.8,-2.2,3.000,0.3500,0.0000
1788371765.437,8.429,2.407,4.2,-3.3,2.943,0.3500,0.0000
1788371765.678,8.490,2.411,4.2,-4.0,2.886,0.3500,0.0000
1788371765.889,8.535,2.417,4.4,-5.1,2.832,0.3182,0.0000
1788371766.108,8.596,2.422,4.4,-5.8,2.778,0.2545,0.0000
1788371766.345,8.659,2.442,6.4,-9.7,2.727,0.2227,0.0000
1788371766.559,8.720,2.449,6.4,-10.7,2.677,0.0636,0.0000
1788371766.773,8.758,2.449,6.4,-10.6,2.629,0.3500,0.0000
1788371767.004,8.819,2.455,6.4,-11.6,2.583,0.3182,0.0000
1788371767.232,8.874,2.465,6.6,-13.0,2.543,0.2227,0.0000
1788371767.447,8.935,2.472,6.6,-17.7,2.507,0.2227,0.0000
1788371767.657,9.000,2.473,5.7,-17.4,2.486,0.1909,0.0000
1788371767.891,9.061,2.479,5.7,-17.2,4.893,0.3500,0.0000
1788371768.109,9.123,2.483,5.2,-17.4,4.833,0.0955,0.0000
1788371768.322,9.184,2.489,5.2,-18.2,4.773,0.2864,6.0000
1788371768.547,9.231,2.499,5.9,-20.0,4.713,0.2864,6.0000
1788371768.769,9.291,2.506,5.9,-21.1,4.653,0.2545,6.0000
1788371768.979,9.352,2.499,4.7,-19.4,4.593,0.3500,0.0000
1788371769.200,9.413,2.504,4.7,-18.8,4.534,0.3500,0.0000
1788371769.443,9.490,2.509,4.8,-18.8,4.474,0.3500,0.0000
1788371769.654,9.551,2.514,4.8,-21.1,4.414,0.0318,0.0000
1788371769.867,9.611,2.507,3.1,-17.5,4.354,0.1273,0.0000
1788371770.097,9.672,2.510,3.1,-18.2,4.294,0.1273,6.0000
1788371770.324,9.738,2.511,3.3,-16.2,4.234,0.0955,6.0000
1788371770.533,9.789,2.514,3.3,-18.0,4.174,0.0955,0.0000
1788371770.744,9.855,2.509,2.9,-17.4,4.114,0.0318,0.0000
1788371770.983,9.916,2.512,2.9,-18.0,4.054,0.0000,6.0000
1788371771.192,9.964,2.519,2.4,-18.2,3.995,0.0000,6.0000
1788371771.420,10.026,2.522,2.4,-16.1,3.935,0.0955,0.0000
1788371771.655,10.069,2.523,1.9,-16.9,3.875,0.1273,0.0000
1788371771.886,10.130,2.525,1.9,-18.7,3.815,0.0636,0.0000
1788371772.107,10.187,2.532,3.2,-21.1,3.755,0.2864,6.0000
1788371772.325,10.238,2.535,3.2,-21.4,3.695,0.2545,6.0000
1788371772.567,10.298,2.544,3.6,-21.9,3.635,0.0000,-2.5962
1788371772.777,10.359,2.548,3.6,-23.9,3.576,0.2227,6.0000
1788371772.990,10.419,2.549,3.2,-24.1,3.517,0.1909,6.0000
1788371773.226,10.477,2.553,3.2,-27.3,3.459,0.1909,6.0000
1788371773.449,10.546,2.559,2.7,-31.9,3.402,0.1591,6.0000
1788371773.663,10.546,2.559,-2.5,-26.7,3.378,0.0000,-3.1768
1788371773.874,10.551,2.563,-7.4,-22.7,3.375,0.0000,-2.9647
1788371774.115,10.571,2.560,-8.5,-22.8,3.370,0.1273,6.0000
1788371774.324,10.620,2.557,-8.0,-27.5,3.326,0.0955,0.0000
1788371774.539,10.677,2.551,-7.9,-33.8,3.278,0.0000,-1.0000
1788371774.767,10.725,2.546,-7.8,-40.9,3.235,0.0000,-3.0000
1788371774.988,10.750,2.542,-10.1,-43.1,3.192,0.0000,-3.8903
1788371775.200,10.738,2.552,-15.1,-37.0,3.188,0.0000,-3.6235
1788371775.414,10.738,2.552,-20.2,-31.9,3.190,0.0000,-3.3883
1788371775.660,10.756,2.544,-21.2,-33.8,3.199,0.0000,-3.3277
1788371775.872,10.789,2.537,-20.4,-41.6,3.161,0.0000,-3.6068
1788371776.082,10.826,2.527,-20.7,-51.5,3.120,0.0000,-4.0000
1788371776.313,10.829,2.528,-25.6,-47.9,0.830,0.0000,-4.0000
1788371776.538,10.829,2.528,-30.7,-42.7,0.743,0.0000,-3.9174
1788371776.752,10.835,2.524,-33.4,-41.7,0.723,0.0000,-3.7443
1788371776.966,10.843,2.508,-35.8,-40.8,0.693,0.0000,-1.8585
1788371777.202,10.855,2.516,-40.9,-41.0,0.688,0.0000,0.1415
1788371777.421,10.857,2.517,-46.1,-36.7,0.686,0.0000,2.1415
1788371777.634,10.857,2.517,-51.2,-31.5,0.683,0.0000,4.0000
1788371777.854,10.854,2.511,-56.2,-25.0,0.681,0.0000,4.0000
1788371778.081,10.843,2.507,-59.6,-16.9,0.678,0.0000,4.0000
1788371778.297,10.837,2.505,-64.3,-9.5,0.675,0.0000,4.0000
1788371778.511,10.841,2.498,-69.8,-4.7,0.682,0.0000,4.0000
1788371778.749,10.843,2.491,-72.8,-1.9,0.722,0.0000,4.0000
1788371778.965,10.856,2.450,-72.8,-3.0,0.703,0.0000,4.0000
1788371779.173,10.870,2.418,-68.2,-15.3,0.679,0.0000,4.0000
1788371779.398,10.870,2.418,-55.0,-28.4,0.596,0.0000,4.0000
1788371779.631,10.870,2.418,-46.3,-37.1,0.601,0.0000,4.0000
1788371779.839,10.865,2.419,-41.9,-34.9,0.605,0.0000,4.0000
1788371780.048,10.858,2.415,-37.6,-28.9,0.607,0.0000,3.8016
1788371780.284,10.853,2.427,-33.1,-34.0,0.610,0.0000,3.5235
1788371780.499,10.852,2.432,-28.3,-39.7,0.617,0.0000,3.3196
1788371780.710,10.862,2.431,-23.0,-53.6,0.647,0.0000,3.0299
1788371780.926,10.867,2.441,-17.6,-65.8,3.045,0.0000,2.7702
1788371781.162,10.868,2.443,-12.6,-71.7,3.028,0.0000,0.0000
1788371781.374,10.877,2.449,-8.1,-83.7,3.028,0.0000,0.0000
1788371781.579,10.871,2.460,-7.6,-79.7,3.029,0.0000,0.0000
1788371781.792,10.871,2.460,-7.5,-79.6,3.029,0.0000,0.0000
1788371782.009,10.857,2.464,-8.0,-70.5,3.029,0.0000,0.0000
1788371782.216,10.857,2.464,-8.0,-70.5,3.029,0.0000,0.0000
1788371782.425,10.857,2.464,-8.0,-70.5,3.029,0.0000,0.0000
1788371782.654,10.857,2.464,-3.7,66.0,3.029,0.0000,2.0000
1788371782.869,10.857,2.464,8.1,54.1,3.034,0.0000,4.0000
1788371783.083,10.857,2.464,15.8,46.4,3.039,0.0000,4.0000
1788371783.307,10.865,2.478,20.8,41.5,3.045,0.0000,3.9023
1788371783.542,10.869,2.482,24.3,38.2,3.068,0.0000,3.7346
1788371783.752,10.870,2.477,28.8,34.0,2.914,0.0000,3.4694
1788371783.965,10.869,2.474,33.7,29.3,2.661,0.0000,3.2374
1788371784.203,10.886,2.461,38.7,26.5,2.464,0.0000,3.0617
1788371784.422,10.899,2.454,43.3,23.3,2.309,0.0000,2.8144
1788371784.634,10.901,2.453,48.1,16.5,2.188,0.0318,0.0000
1788371784.856,10.906,2.454,53.3,11.8,2.092,0.2864,0.0000
1788371785.085,10.902,2.451,58.2,6.6,2.068,0.3500,0.0000
1788371785.303,10.912,2.467,59.3,5.7,2.067,0.3182,0.0000
1788371785.515,10.921,2.516,60.1,3.4,2.024,0.3500,0.0000
1788371785.752,10.952,2.569,60.1,3.9,1.956,0.3500,0.0000
1788371785.970,10.982,2.622,60.1,4.3,1.900,0.3182,0.0000
1788371786.185,11.013,2.675,60.1,4.7,1.844,0.3500,0.0000
1788371786.411,11.040,2.743,60.5,5.1,1.780,0.2864,0.0000
1788371786.646,11.070,2.796,60.5,7.1,1.722,0.2227,0.0000
1788371786.859,11.095,2.839,59.8,8.7,1.667,0.3182,0.0000
1788371787.067,11.126,2.892,59.8,9.7,1.602,0.2864,0.0000
1788371787.301,11.143,2.945,59.5,6.9,1.547,0.2545,0.0000
1788371787.524,11.174,2.998,59.5,7.7,1.483,0.1909,0.0000
1788371787.733,11.219,3.050,59.4,10.5,1.429,0.1591,0.0000
1788371787.955,11.251,3.103,59.4,12.1,1.366,0.0636,0.0000
1788371788.188,11.278,3.147,59.6,13.9,1.313,0.0318,0.0000
1788371788.401,11.304,3.191,59.6,16.3,1.258,0.2545,0.0000
1788371788.615,11.327,3.243,58.9,19.4,1.211,0.2227,0.0000
1788371788.853,11.350,3.282,58.9,23.8,1.171,0.0000,1.0000
1788371789.071,11.372,3.318,58.4,30.5,1.127,0.0000,3.1558
1788371789.285,11.385,3.339,59.7,34.6,1.087,0.0000,3.3222
1788371789.497,11.385,3.339,64.6,29.7,1.081,0.0000,3.0699
1788371789.732,11.388,3.356,69.4,27.0,1.082,0.0000,2.6828
1788371789.945,11.389,3.361,74.3,23.0,1.086,0.0000,0.0000
1788371790.161,11.400,3.372,79.4,24.2,1.086,0.0000,0.0000
1788371790.389,11.393,3.370,81.1,18.8,1.089,0.0000,0.0000
1788371790.602,11.392,3.370,81.2,18.2,1.089,0.0000,0.0000
1788371790.809,11.393,3.354,80.8,17.6,1.089,0.0000,0.0000
1788371791.019,11.393,3.354,80.8,17.6,1.089,0.0000,0.0000
1788371791.252,11.393,3.354,80.8,17.6,1.089,0.0000,0.0000
1788371791.463,11.393,3.354,80.8,79.2,1.089,0.0000,1.0000
1788371791.679,11.395,3.373,84.3,77.7,1.087,0.0000,3.0000
1788371791.906,11.399,3.413,84.3,82.2,1.048,0.0000,4.0000
1788371792.124,11.403,3.454,84.3,86.7,1.011,0.0000,4.0000
1788371792.335,11.407,3.494,84.3,91.3,0.969,0.0000,4.0000
1788371792.552,11.411,3.535,84.3,82.4,0.932,0.0000,4.0000
1788371792.783,11.419,3.603,84.6,90.3,0.893,0.0000,4.0000
1788371792.997,11.420,3.612,88.1,86.8,0.862,0.0000,4.0000
1788371793.205,11.420,3.612,88.2,86.7,0.908,0.0000,4.0000
1788371793.428,11.430,3.608,88.0,87.2,0.906,0.0000,4.0000
1788371793.661,11.428,3.557,88.0,81.5,0.912,0.0000,4.0000
1788371793.872,11.426,3.506,88.0,76.0,0.933,0.0000,4.0000
1788371794.080,11.424,3.455,88.0,70.7,0.981,0.0000,4.0000
1788371794.322,11.423,3.404,88.0,65.7,1.033,0.0000,4.0000
1788371794.535,11.428,3.346,85.4,80.6,1.081,0.0000,4.0000
1788371794.747,11.425,3.304,85.4,76.0,1.128,0.0000,4.0000
1788371794.967,11.419,3.280,85.7,73.0,1.167,0.0000,4.0000
1788371795.199,11.419,3.311,85.8,76.2,1.148,0.0000,4.0000
1788371795.412,11.422,3.352,85.8,80.7,1.111,0.0000,4.0000
1788371795.626,11.425,3.393,85.8,85.4,1.070,0.0000,4.0000
1788371795.867,11.428,3.433,85.8,90.1,1.033,0.0000,4.0000
1788371796.083,11.431,3.474,85.8,94.8,0.991,0.0000,4.0000
1788371796.292,11.434,3.515,85.8,99.5,0.954,0.0000,4.0000
1788371796.518,11.437,3.556,85.8,7.5,0.918,0.0000,4.0000
1788371796.754,11.459,3.586,85.2,10.9,0.910,0.3500,0.0000
1788371796.965,11.462,3.627,85.2,11.3,0.902,0.2864,0.0000
1788371797.179,11.463,3.635,89.7,7.0,0.992,0.2864,0.0000
1788371797.415,11.459,3.648,91.8,4.6,1.156,0.2864,0.0000
1788371797.633,11.458,3.675,91.8,86.8,1.156,0.0000,1.0000
1788371797.848,11.457,3.719,91.8,92.1,1.158,0.0000,3.0000
1788371798.069,11.455,3.764,91.8,97.4,1.160,0.0000,4.0000
1788371798.305,11.454,3.809,91.8,102.5,1.162,0.0000,4.0000
1788371798.516,11.448,3.847,91.7,105.3,1.164,0.0000,4.0000
1788371798.728,11.446,3.892,91.7,105.9,1.166,0.0000,4.0000
