ts,v_front,v_rear,set_left,set_right,meas_fl,meas_fr,meas_rl,meas_rr,stall,event
1788647749.749,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647749.837,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647749.935,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647750.046,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647750.136,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647750.244,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647750.346,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647750.444,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647750.553,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647750.635,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647750.745,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647750.848,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647750.947,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647751.034,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647751.152,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647751.234,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647751.335,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647751.439,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647751.567,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647751.637,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647751.741,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647751.852,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647751.951,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647752.049,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
