nav_id,start_ts,end_ts,duration_s,status,start_x,start_y,end_x,end_y,end_yaw,initial_plan_length_m,replans,rec_backup,rec_spin,rec_wait,distance_traveled_m,avg_linear_speed,max_linear_speed,time_stopped_s,direction_reversals
578aa810,1788631765.250,1788631812.256,47.01,SUCCEEDED,14.503,-10.434,5.266,-12.257,-2.726,13.647,44,0,0,0,13.571,0.295,0.474,8.856,0
a0a3221a,1788631814.129,1788631876.037,61.91,SUCCEEDED,5.194,-12.298,15.288,-25.015,-1.240,20.874,56,0,0,0,20.566,0.335,0.496,6.467,0
8fb28e83,1788632093.652,1788632118.981,25.33,SUCCEEDED,15.443,-25.102,18.991,-17.907,1.161,8.252,24,0,0,0,8.136,0.323,0.474,1.903,0
d9b8b90d,1788632120.712,1788632168.387,47.68,SUCCEEDED,18.982,-17.880,9.862,-20.082,-2.629,13.455,45,0,0,0,13.701,0.287,0.472,7.517,0
262c1922,1788632170.028,1788632237.635,67.61,SUCCEEDED,9.786,-20.132,20.372,-32.274,-1.167,20.686,62,0,0,0,20.809,0.315,0.464,7.698,0
3c081afa,1788632343.900,1788632369.715,25.81,SUCCEEDED,20.417,-32.340,22.699,-25.051,1.614,8.360,24,0,0,0,8.035,0.317,0.457,2.469,0
fd582ac1,1788632371.392,1788632398.746,27.35,ABORTED,22.686,-25.071,17.806,-28.233,1.940,13.346,25,0,0,0,7.503,0.277,0.453,5.945,0
3cc0a468,1788632402.381,1788632430.163,27.78,SUCCEEDED,17.770,-28.141,13.856,-26.187,2.963,5.579,26,0,0,0,6.134,0.217,0.459,9.107,0
d8779a7c,1788632431.921,1788632472.561,40.64,ABORTED,13.829,-26.203,23.989,-28.398,-0.287,21.115,35,0,0,0,12.040,0.300,0.483,5.908,0
05a513e4,1788632476.265,1788632482.262,6.00,ABORTED,24.126,-28.438,24.913,-29.364,-0.898,8.666,5,0,0,0,1.303,0.235,0.386,2.082,0
86a58846,1788632485.948,1788632486.252,0.30,ABORTED,24.958,-29.421,24.958,-29.421,-0.898,7.541,0,0,0,0,0.000,0.000,0.000,0.000,0
aae2db5e,1788632489.841,1788632490.178,0.34,ABORTED,24.958,-29.421,24.958,-29.421,-0.897,7.541,0,0,0,0,0.000,0.000,0.000,0.000,0
6e028089,1788632493.843,1788632500.275,6.43,ABORTED,24.958,-29.421,24.860,-30.566,-1.665,7.256,5,0,0,0,1.249,0.205,0.449,1.884,0
5fe4c008,1788632503.992,1788632504.182,0.19,ABORTED,24.850,-30.680,24.850,-30.680,-1.663,6.107,0,0,0,0,0.000,0.000,0.000,0.000,0
3a8601fd,1788632507.795,1788632508.091,0.30,ABORTED,24.850,-30.680,24.850,-30.680,-1.663,6.107,0,0,0,0,0.000,0.000,0.000,0.000,0
dff35e8c,1788632511.710,1788632511.855,0.14,ABORTED,24.850,-30.680,24.850,-30.680,-1.663,0.000,0,0,0,0,0.000,0.000,0.000,0.000,0
ebadec59,1788632515.421,1788632515.540,0.12,ABORTED,24.850,-30.680,24.850,-30.680,-1.663,0.000,0,0,0,0,0.000,0.000,0.000,0.000,0
5bc6ce7a,1788632519.113,1788632519.256,0.14,ABORTED,24.850,-30.680,24.850,-30.680,-1.663,0.000,0,0,0,0,0.000,0.000,0.000,0.000,0
322495c2,1788632522.860,1788632522.992,0.13,ABORTED,24.850,-30.680,24.850,-30.680,-1.663,0.000,0,0,0,0,0.000,0.000,0.000,0.000,0
46c9421b,1788635216.100,1788635216.439,0.34,ABORTED,0.000,0.000,0.000,0.000,0.008,8.245,0,0,0,0,0.000,0.000,0.000,0.126,0
28aea3df,1788635220.041,1788635222.176,2.14,ABORTED,0.000,0.000,0.054,0.160,1.334,8.245,1,0,0,0,0.181,0.114,0.359,1.114,0
38f92b7f,1788635225.889,1788635226.229,0.34,ABORTED,0.082,0.275,0.082,0.275,1.339,8.245,0,0,0,0,0.000,0.000,0.000,0.000,0
141ead03,1788635229.811,1788635255.946,26.14,SUCCEEDED,0.082,0.275,3.955,6.934,1.142,8.070,24,0,0,0,7.932,0.307,0.457,2.346,0
0d223384,1788635257.611,1788635278.244,20.63,CANCELED,3.943,6.968,2.037,-1.020,-1.779,13.535,14,1,0,0,8.264,0.375,0.897,8.475,0
4e17fb15,1788636716.400,1788636746.071,29.67,CANCELED,0.062,0.000,1.292,-0.085,0.293,1.298,28,0,0,0,3.515,0.121,0.440,17.466,0
68075584,1788636759.544,1788636776.053,16.51,SUCCEEDED,1.338,-0.043,3.669,1.365,0.698,2.701,15,0,0,0,3.218,0.208,0.464,6.356,0
d53996b9,1788636777.703,1788636791.641,13.94,SUCCEEDED,3.637,1.353,1.850,-1.421,-2.492,3.412,13,0,0,0,3.553,0.260,0.451,3.182,0
f6bda27b,1788636793.358,1788636808.268,14.91,SUCCEEDED,1.886,-1.410,2.100,2.588,1.550,4.259,14,0,0,0,4.166,0.294,0.455,2.511,0
d45be13d,1788636840.785,1788636855.173,14.39,SUCCEEDED,0.166,0.221,3.899,0.524,-0.110,4.014,13,0,0,0,3.905,0.266,0.462,2.505,0
804c464b,1788636856.830,1788636869.497,12.67,SUCCEEDED,4.126,0.500,1.553,-1.538,-2.812,3.449,12,0,0,0,3.429,0.261,0.464,3.088,0
c09d2a52,1788636871.321,1788636886.922,15.60,SUCCEEDED,1.610,-1.536,2.512,2.112,1.341,4.300,14,0,0,0,4.021,0.257,0.459,3.428,0
c166f85c,1788639677.763,1788639705.270,27.51,SUCCEEDED,-0.001,0.000,4.189,6.682,1.505,8.262,26,0,0,0,8.153,0.303,0.470,3.363,0
b4ca6c75,1788639706.946,1788639758.970,52.02,SUCCEEDED,4.188,6.785,-5.166,4.688,-2.589,13.658,49,0,0,0,13.828,0.260,0.470,13.460,0
7cc9d82a,1788639760.670,1788639823.278,62.61,SUCCEEDED,-5.151,4.690,1.523,-10.180,-1.461,20.828,57,0,0,0,20.264,0.327,0.479,5.862,0
212b9e31,1788639879.136,1788639924.049,44.91,SUCCEEDED,1.600,-10.390,7.235,-4.800,1.071,8.296,43,0,0,0,9.405,0.208,0.464,16.424,0
1218454d,1788639925.821,1788639969.644,43.82,SUCCEEDED,7.224,-4.761,-1.934,-5.323,-2.904,13.557,41,0,0,0,13.287,0.307,0.470,6.567,0
da94908d,1788639971.361,1788640036.365,65.00,SUCCEEDED,-2.005,-5.344,2.224,-20.770,-2.002,20.563,60,0,0,0,20.397,0.317,0.474,7.525,0
1eecf1b9,1788640089.923,1788640114.683,24.76,SUCCEEDED,2.294,-20.864,8.884,-16.847,0.864,7.772,23,0,0,0,8.024,0.326,0.474,2.654,0
a6db7fa2,1788640116.356,1788640158.702,42.35,SUCCEEDED,8.914,-16.785,0.592,-14.002,3.076,13.186,40,0,0,0,12.902,0.316,0.474,6.290,0
a5e2aa3b,1788640160.435,1788640228.958,68.52,SUCCEEDED,0.481,-14.004,2.869,-29.845,-2.365,20.776,63,0,0,0,20.716,0.311,0.470,10.821,0
fd17e0e9,1788647884.968,1788647889.593,4.62,ABORTED,-0.013,0.005,1.297,0.419,0.512,7.981,4,0,0,0,1.420,0.343,0.474,0.888,0
c54f2b77,1788647893.203,1788647893.539,0.34,ABORTED,1.394,0.473,1.394,0.473,0.510,6.932,0,0,0,0,0.000,0.000,0.000,0.000,0
0e74da43,1788647897.161,1788647897.449,0.29,ABORTED,1.394,0.473,1.394,0.473,0.506,6.932,0,0,0,0,0.000,0.000,0.000,0.000,0
ef2f3adf,1788647984.960,1788648008.838,23.88,SUCCEEDED,-0.040,0.093,6.901,3.180,0.595,7.999,22,0,0,0,8.023,0.327,0.593,6.238,0
7026cb0d,1788648010.600,1788648048.901,38.30,SUCCEEDED,6.887,3.170,-0.420,8.652,2.816,13.174,36,0,0,0,13.188,0.349,0.586,8.239,0
4ffef41c,1788648050.639,1788648110.594,59.95,SUCCEEDED,-0.557,8.696,-3.362,-6.851,-2.180,20.779,55,0,0,0,21.009,0.371,0.577,13.874,0
